Year,Name,Female,Male
1881,Leslie,11,92
1881,Lonie,11,6
1881,Ocie,11,9
1881,Ray,11,148
1881,Thomas,11,2282
1881,Walter,11,1670
1881,Carol,10,0
1881,Dolores,10,0
1881,Doris,10,0
1881,Joe,10,639
1881,Joseph,10,2456
1881,Judith,10,0
1881,Angela,9,0
1881,Bennie,9,32
1881,Corrie,9,0
1881,Frank,9,2834
1881,Fred,9,1418
1881,Robert,9,2140
1881,Ara,8,0
1881,Beryl,8,0
1881,Clifford,8,110
1881,Ira,8,286
1881,Justine,8,0
1881,Theo,8,8
1881,Tommie,8,11
1881,Audie,7,0
1881,Carmen,7,0
1881,Claudie,7,0
1881,Diana,7,0
1881,Gloria,7,0
1881,Jessica,7,0
1881,Courtney,6,0
1881,Dee,6,32
1881,Guadalupe,6,8
1881,Jewel,6,0
1881,Joan,6,0
1881,Jonnie,6,0
1881,Karen,6,0
1881,Leo,6,122
1881,Merle,6,13
1881,Odie,6,8
1881,Sammie,6,0
1881,Andrea,5,0
1881,Andrew,5,588
1881,Charlie,5,668
1881,Earl,5,314
1881,Eugene,5,314
1881,Gail,5,0
1881,Glenn,5,45
1881,Jesse,5,536
1881,Jo,5,0
1881,Johnie,5,14
1881,Judy,5,0
1881,Lannie,5,0
1881,Lonnie,5,77
1881,Vernon,5,57
1881,Edward,0,2177
1881,Harry,0,2002
1881,Arthur,0,1575
1881,Albert,0,1319
1881,Samuel,0,919
1881,David,0,750
1881,Louis,0,746
1881,Clarence,0,668
1881,Richard,0,641
1881,Ernest,0,571
1881,Oscar,0,530
1881,Daniel,0,527
1881,Benjamin,0,481
1881,Sam,0,481
1881,Alfred,0,466
1881,Roy,0,440
1881,Frederick,0,433
1881,Peter,0,428
1881,Elmer,0,388
1881,Jacob,0,381
1881,Herbert,0,369
1881,Carl,0,359
1881,Howard,0,359
1881,Ralph,0,329
1881,Martin,0,327
1881,Michael,0,298
1881,Paul,0,291
1881,Edwin,0,274
1881,Charley,0,266
1881,Lawrence,0,244
1881,Alexander,0,209
1881,Leonard,0,206
1881,Jack,0,197
1881,Raymond,0,195
1881,Patrick,0,188
1881,Floyd,0,178
1881,Allen,0,172
1881,August,0,172
1881,Philip,0,156
1881,Stephen,0,147
1881,Calvin,0,138
1881,Leroy,0,129
1881,Anthony,0,128
1881,Archie,0,125
1881,Perry,0,123
1881,Leon,0,121
1881,Harold,0,120
1881,Adam,0,116
1881,Alex,0,114
1881,Victor,0,110
1881,Alvin,0,105
1881,Wesley,0,102
1881,Dennis,0,99
1881,Jerry,0,97
1881,Jay,0,96
1881,Norman,0,95
1881,Aaron,0,94
1881,Mark,0,94
1881,Nathan,0,91
1881,Lester,0,87
1881,Phillip,0,84
1881,Noah,0,81
1881,Matthew,0,80
1881,Jose,0,76
1881,Melvin,0,76
1881,Stanley,0,76
1881,Curtis,0,72
1881,Maurice,0,72
1881,Elijah,0,69
1881,Christopher,0,68
1881,Austin,0,66
1881,Asa,0,65
1881,Russell,0,65
1881,Virgil,0,65
1881,Timothy,0,63
1881,Harley,0,61
1881,Andy,0,58
1881,Ellis,0,58
1881,Monroe,0,58
1881,Joel,0,57
1881,Manuel,0,57
1881,Marvin,0,57
1881,Marshall,0,56
1881,Nicholas,0,56
1881,Christian,0,53
1881,Emery,0,53
1881,Chris,0,52
1881,Scott,0,51
1881,Nathaniel,0,48
1881,Riley,0,47
1881,Juan,0,45
1881,Marcus,0,45
1881,Ezra,0,44
1881,Emory,0,42
1881,Joshua,0,40
1881,Taylor,0,39
1881,Jerome,0,38
